idpif,superficie_arbolada,superficie_no_arbolada,Fecha,Longitud,Latitud,INCENDIO,Altitud,Pendiente,Orientacion,NDVI,LandCover,Temp_C,Lluvia_mm,Viento_U
1224954,0.0,0.01,2018-08-07,-1.8696379803869112,38.75505607386039,1,861.0,4.609772228646444,102.52880770915152,2.9300000000000004e-05,7.0,24.409814453125023,0.3729028103407472,-1.561676025390625
1121236,0.27,0.0,2013-08-17,-0.9848354544174176,38.777370215741655,1,773.0,4.716990566028302,237.99461679191648,3.955e-05,9.0,21.839257812500023,0.1338601141469553,-0.6524200439453125
937091,0.0,0.6,2002-07-21,-2.305832734117876,38.76120922357083,1,1008.0,14.983324063771695,334.29004621918875,3.757e-05,7.0,22.025292968750023,0.000882148697201,-0.8577423095703125
996956,0.0,2.0,2005-01-31,-1.6318316326165934,38.56296108936812,1,551.0,2.5,306.86989764584405,3.08e-05,7.0,-2.5159667968749773,0.0693362599122338,0.903533935546875
Y0_1040,0.0,0.0,2023-07-04,-2.670277777777777,39.18222222222222,0,739.0,2.1213203435596424,225.0,2.2360000000000003e-05,7.0,24.150537109375023,0.1262277364730835,0.79791259765625
1088769,0.62,0.0,2011-04-08,-1.5178290538375512,39.413610555654095,1,623.0,6.020797289396148,311.6335393365702,3.375e-05,9.0,12.866845703125025,0.0017195934560731,-0.4658660888671875
Y0_1138,0.0,0.0,2023-06-04,-2.446944444444444,38.19166666666667,0,901.0,22.80350850198276,164.74488129694222,6.135e-05,10.0,11.220605468750025,10.286527685821056,-0.1392059326171875
Y0_1466,0.0,0.0,2020-04-09,-2.2958333333333325,38.88055555555556,0,905.0,4.743416490252569,251.565051177078,4.4980000000000006e-05,7.0,9.450341796875025,0.0353932373400311,-1.85943603515625
1049769,0.0,0.5,2008-09-03,-1.643236727500381,38.405400238804994,1,374.0,1.0,270.0,2.8210000000000003e-05,7.0,20.413354492187523,0.0273168079729657,-0.9016876220703124
975636,0.0,1.0,2004-08-20,-1.5235472889675252,39.09523013415695,1,734.0,1.5,90.0,2.416e-05,12.0,19.590478515625023,0.0,3.012557983398437
573807,1.84,0.36,2017-07-07,-2.066424618372178,38.292180157042914,1,1195.0,3.5355339059327378,315.0,3.47e-05,6.0,19.903955078125023,0.1634061336517334,-0.784759521484375
1022516,0.0,4.5,2006-10-02,-2.716046963586485,39.32250738033154,1,683.0,1.4142135623730951,225.0,2.263e-05,12.0,17.334375000000023,0.0012886207514384,-2.2941436767578125
Y0_3,0.0,0.0,2002-09-27,-1.820277777777777,38.38,0,428.0,5.522680508593631,275.1944289077348,3.483e-05,7.0,16.484521484375023,0.3316610818728804,0.070526123046875
996991,0.0,0.15,2005-03-25,-2.516175418645888,38.62939986537997,1,1091.0,9.12414379544733,80.53767779197439,4.037e-05,7.0,9.062402343750025,0.1663148432271555,-2.3386993408203125
Y0_1078,0.0,0.0,2002-10-09,-2.3266666666666658,38.12416666666667,0,1399.0,1.5811388300841898,18.43494882292201,4.306e-05,10.0,10.111718750000025,16.619104892015457,1.656768798828125
Y0_1710,0.0,0.0,2018-01-04,-2.617777777777777,39.526388888888896,0,784.0,1.4142135623730951,45.0,3.821e-05,7.0,8.583398437500023,0.006729364486091,2.4473419189453125
Y0_365,0.0,0.0,2009-07-11,-1.3605555555555549,39.38166666666667,0,570.0,3.0,270.0,5.1670000000000005e-05,9.0,20.715234375000023,0.2848455915227532,-1.9098968505859373
937048,3.2,1.0,2002-05-17,-2.048385511374589,39.32621752455814,1,759.0,0.5,270.0,2.002e-05,7.0,15.019921875000025,0.0008285045396405,-3.52944278717041
Y0_1661,0.0,0.0,2009-03-06,-3.009444444444444,38.8875,0,901.0,1.118033988749895,296.565051177078,2.838e-05,7.0,3.2433105468750227,4.810357000678778,4.0039825439453125
1131975,0.0,0.11,2014-03-11,-2.786381943214218,38.89838464125412,1,875.0,2.549509756796392,258.69006752597977,3.476e-05,10.0,2.8951660156250227,0.0004351138045421,-2.0433807373046875
1038785,0.01,0.0,2007-06-05,-1.6429879850911788,38.74565151628474,1,844.0,1.8027756377319943,236.30993247402023,1.682e-05,12.0,15.461572265625025,0.0016689300537109,-2.495330810546875
1226146,0.0,0.39,2019-02-28,-2.227873193304583,38.48955651431894,1,1002.0,1.8027756377319943,303.69006752597977,3.759e-05,9.0,4.365136718750023,0.0,2.354095458984375
1228160,0.0,9.58,2021-08-06,-1.5430190214801938,38.7727969482801,1,932.0,2.23606797749979,116.565051177078,2.9000000000000004e-05,12.0,22.368188476562523,0.0,0.64959716796875
1121179,0.0,0.01,2013-06-21,-1.7280340131148269,38.98495128093035,1,808.0,2.23606797749979,153.434948822922,3.034e-05,7.0,16.728173828125023,0.0004351138045421,-1.63250732421875
Y0_151,0.0,0.0,2005-07-15,-2.423888888888888,38.511388888888895,0,1183.0,7.826237921249264,63.43494882292201,4.912e-05,9.0,20.389062500000023,0.0,-1.254974365234375
997085,0.0,0.03,2005-08-07,-2.3471371287186,38.12561775292796,1,1371.0,9.013878188659971,86.82016988013577,3.89e-05,10.0,17.944726562500023,0.0004370153305899,1.7994537353515625
Y0_1423,0.0,0.0,2023-08-03,-2.4316666666666658,39.191388888888895,0,752.0,0.0,180.0,2.798e-05,7.0,26.377832031250023,0.0017106531231547,3.4197540283203125
Y0_838,0.0,0.0,2025-05-06,-2.531666666666666,39.54611111111112,0,853.0,1.118033988749895,153.434948822922,5.263e-05,10.0,9.783105468750025,1.2983561027795076,1.17120361328125
Y0_1549,0.0,0.0,2014-01-08,-1.3269444444444436,39.075,0,1064.0,3.3541019662496847,63.43494882292201,6.005e-05,9.0,5.870996093750023,0.00215680393012,0.03436279296875
Y0_762,0.0,0.0,2012-06-27,-2.250833333333333,38.80527777777778,0,924.0,4.5,180.0,4.2770000000000006e-05,9.0,24.846582031250023,0.0301599502563476,-0.350799560546875
1141794,0.0,1.11,2015-05-27,-1.6365875439747504,38.41307311550133,1,380.0,0.7071067811865476,135.0,2.937e-05,7.0,16.432641601562523,0.0,-1.8333740234375
1105207,0.0,0.15,2012-05-19,-2.233391918389367,38.45567164186637,1,909.0,9.617692030835672,278.9726266148964,3.125e-05,9.0,14.714990234375025,0.0489652156829834,2.14111328125
957073,0.0,1.0,2003-09-29,-2.475964035731117,38.681603291173545,1,964.0,8.139410298049853,280.6196552761552,2.14e-05,10.0,16.705224609375023,0.3631113213486969,2.050033569335937
1121258,0.0,0.09,2013-11-25,-1.6928349847113788,38.46017832379315,1,459.0,0.0,180.0,3.8320000000000006e-05,12.0,3.661279296875023,0.0013038645647611,1.1358489990234375
Y0_504,0.0,0.0,2021-02-14,-2.429166666666666,39.05500000000001,0,905.0,2.692582403567252,68.19859051364818,2.771e-05,7.0,7.492089843750023,0.0008523463179699,0.562286376953125
Y0_828,0.0,0.0,2016-08-07,-1.6361111111111104,39.085,0,681.0,0.5,270.0,4.55e-05,12.0,21.720117187500023,0.0099420540209393,-1.562103271484375
1077078,0.09,0.0,2010-08-27,-1.7527785277245729,39.17912155261877,1,685.0,2.23606797749979,26.56505117707799,3.448e-05,12.0,25.169824218750023,0.0030089231586316,1.1982879638671875
1049776,0.0,0.01,2008-11-21,-2.5045556985219184,39.01738891113951,1,940.0,3.0413812651491097,189.46232220802565,1.741e-05,7.0,3.777001953125023,0.1033306107274256,-1.5740509033203125
Y0_1090,0.0,0.0,2014-06-04,-2.2272222222222213,38.27138888888889,0,1029.0,4.301162633521313,305.5376777919744,3.282e-05,7.0,17.308740234375023,0.0012940745364176,2.971435546875
1224645,0.0,0.04,2017-12-12,-1.6399100364204915,38.57218384706526,1,567.0,2.692582403567252,248.19859051364816,2.515e-05,7.0,3.2389160156250227,6.358194164931774,1.6312255859375
Y0_1714,0.0,0.0,2015-07-23,-2.325,38.14638888888889,0,1156.0,4.5,0.0,4.165e-05,9.0,20.318261718750023,0.0035136936276103,-1.07489013671875
1121254,0.0,0.02,2013-11-09,-2.52092179667117,38.4336605103772,1,786.0,7.905694150420948,214.695153531234,4.268e-05,9.0,10.135888671875025,0.1765292836353182,2.218841552734375
Y0_1713,0.0,0.0,2003-03-27,-2.178333333333333,38.511388888888895,0,1069.0,6.708203932499369,333.434948822922,4.237e-05,7.0,7.361108398437523,2.037506550550461,0.0608673095703125
937061,0.01,0.07,2002-06-15,-2.2677142289337686,38.27194381363125,1,729.0,4.031128874149275,330.2551187030578,4.69e-05,9.0,17.145898437500023,0.0584721565246582,-0.1291656494140625
1121222,0.0,0.5,2013-08-15,-1.63995174478335,38.56510132971032,1,559.0,0.7071067811865476,225.0,3.057e-05,7.0,20.424462890625023,0.0021404894141596,-0.838409423828125
Y0_429,0.0,0.0,2008-03-02,-2.6583333333333323,38.68833333333334,0,897.0,6.363961030678928,315.0,3.269e-05,10.0,7.881982421875023,0.0017195939108205,-0.435546875
1038807,0.0,0.01,2007-08-20,-1.3327895292186889,39.3083637874723,1,605.0,8.246211251235321,104.03624346792648,5.361e-05,9.0,19.645898437500023,0.574067234992981,-2.7495269775390625
1049725,0.1,0.0,2008-03-07,-2.19415257351263,38.87994825458279,1,789.0,4.527692569068709,6.34019174590991,3.695e-05,7.0,2.7984863281250227,0.0017359807316097,2.8003387451171875
1049763,0.5,0.0,2008-08-09,-2.5585796431835344,38.6182305883237,1,850.0,2.1213203435596424,135.0,3.663e-05,9.0,20.614160156250023,0.0,-1.1502685546875
Y0_12,0.0,0.0,2008-11-27,-1.482777777777777,38.45611111111111,0,629.0,4.031128874149275,172.8749836510982,3.876e-05,7.0,4.654199218750023,3.4204304683953524,-2.613311767578125
